gender,under_30,senior_citizen,dependents,referred_a_friend,phone_service,multiple_lines,avg_monthly_gb_download,online_security,online_backup,streaming_music,paperless_billing,churn_label,cltv,tenure_months,monthly_charges,population,country_united_states,internet_type_cable,internet_type_dsl,internet_type_fiber_optic,payment_method_bank_withdrawal,payment_method_credit_card,payment_method_mailed_check,quarter_q3,device_protection_no,device_protection_yes,tech_support_no,tech_support_yes,state_california,city_encoded,longitude_encoded
0,0,0,0,0,0,0,8,0,0,0,0,0,5433,1,39.65,68701,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,554,432
1,0,0,1,1,1,1,17,0,1,0,0,0,5302,8,80.65,55668,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,554,443
0,0,0,1,0,1,1,52,0,0,1,0,0,3179,18,95.45,47534,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,554,461
1,0,0,1,1,1,0,12,0,1,0,0,0,5337,25,98.5,27778,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,448,527
1,0,0,1,1,1,1,14,0,0,0,0,0,2793,37,76.5,26265,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1072,375
1,0,0,1,0,1,1,18,0,0,0,0,0,4638,27,78.05,63288,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,752,404
1,0,0,1,1,1,0,30,0,0,0,0,0,3964,1,70.45,21343,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,551,391
0,0,0,0,1,0,0,24,0,1,0,0,0,5444,58,45.3,10558,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,921,388
1,0,0,1,0,1,1,19,0,0,0,0,0,5717,15,74.45,23742,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,734,419
1,0,0,1,0,1,0,18,1,0,0,1,0,4419,7,76.45,32369,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,734,403
1,0,0,1,0,1,0,29,0,1,0,0,0,5980,11,95.0,57146,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,676,565
0,0,0,0,0,1,0,29,0,1,0,0,0,4616,15,74.4,33817,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,228,336
0,0,0,0,1,0,0,12,0,1,0,1,0,5828,1,40.2,62660,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,290,373
0,0,0,0,0,0,0,28,0,0,1,0,0,2314,3,41.15,30802,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,493,363
0,0,0,0,0,1,1,11,0,1,0,0,0,2494,13,106.9,46342,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,838,330
1,0,0,0,0,1,0,9,0,0,1,0,0,3810,16,94.45,49474,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,702,248
0,0,0,0,0,1,0,7,0,1,0,0,0,4345,8,74.5,16486,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,16,65
0,0,0,0,0,1,1,15,0,0,0,0,0,2018,24,76.1,34902,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,174
1,0,0,0,0,1,1,2,0,0,0,0,0,3677,4,95.45,34902,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,174
0,0,0,0,1,1,1,10,0,0,0,0,0,4105,32,74.9,34902,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,174
0,0,0,0,1,1,0,12,0,0,1,0,0,2212,24,93.15,34902,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,854,174
1,0,0,0,0,1,1,5,1,1,1,1,0,4149,54,82.45,34902,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,854,174
1,0,0,0,0,1,0,10,0,0,0,0,0,2671,2,70.35,34902,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,174
1,0,0,0,0,0,0,8,1,0,0,0,0,4778,21,41.9,34902,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,174
