gender,under_30,senior_citizen,dependents,country,state,city,longitude,referred_a_friend,phone_service,multiple_lines,internet_type,avg_monthly_gb_download,online_security,online_backup,streaming_music,paperless_billing,payment_method,quarter,churn_label,cltv,tenure_months,device_protection,tech_support,monthly_charges,population
Male,No,Yes,No,United States,California,Los Angeles,-118.156582,No,No,No,DSL,8,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5433,1,Yes,No,39.65,68701
Female,No,Yes,Yes,United States,California,Los Angeles,-118.185237,Yes,Yes,Yes,Fiber Optic,17,No,Yes,No,Yes,Credit Card,Q3,Yes,5302,8,No,No,80.65,55668
Male,No,Yes,Yes,United States,California,Los Angeles,-118.229715,No,Yes,Yes,Fiber Optic,52,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,3179,18,No,No,95.45,47534
Female,No,Yes,Yes,United States,California,Inglewood,-118.332639,Yes,Yes,No,Fiber Optic,12,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,5337,25,Yes,No,98.5,27778
Female,No,Yes,Yes,United States,California,Whittier,-118.020188,Yes,Yes,Yes,Fiber Optic,14,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2793,37,No,No,76.5,26265
Female,No,Yes,Yes,United States,California,Pico Rivera,-118.089299,No,Yes,Yes,Fiber Optic,18,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4638,27,Yes,No,78.05,63288
Female,No,Yes,Yes,United States,California,Los Alamitos,-118.065591,Yes,Yes,No,Fiber Optic,30,No,No,No,Yes,Mailed Check,Q3,Yes,3964,1,No,No,70.45,21343
Male,No,Yes,No,United States,California,Sierra Madre,-118.057505,Yes,No,No,DSL,24,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,5444,58,Yes,No,45.3,10558
Female,No,Yes,Yes,United States,California,Pasadena,-118.128658,No,Yes,Yes,Fiber Optic,19,No,No,No,Yes,Mailed Check,Q3,Yes,5717,15,No,No,74.45,23742
Female,No,Yes,Yes,United States,California,Pasadena,-118.087353,No,Yes,No,Fiber Optic,18,Yes,No,No,No,Bank Withdrawal,Q3,Yes,4419,7,No,No,76.45,32369
Female,No,Yes,Yes,United States,California,North Hollywood,-118.400022,No,Yes,No,Fiber Optic,29,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,5980,11,No,No,95.0,57146
Male,No,Yes,No,United States,California,Covina,-117.906736,No,Yes,No,Fiber Optic,29,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,4616,15,No,No,74.4,33817
Male,No,Yes,No,United States,California,El Monte,-118.01462,Yes,No,No,DSL,12,No,Yes,No,No,Bank Withdrawal,Q3,Yes,5828,1,No,No,40.2,62660
Male,No,Yes,No,United States,California,La Puente,-117.991372,No,No,No,DSL,28,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,2314,3,Yes,No,41.15,30802
Male,No,Yes,No,United States,California,Rowland Heights,-117.897367,No,Yes,Yes,Cable,11,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,2494,13,Yes,No,106.9,46342
Female,No,Yes,No,United States,California,Ontario,-117.605618,No,Yes,No,Fiber Optic,9,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,3810,16,No,Yes,94.45,49474
Male,No,Yes,No,United States,California,Alpine,-116.703729,No,Yes,No,Fiber Optic,7,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,4345,8,No,No,74.5,16486
Male,No,Yes,No,United States,California,San Diego,-117.209774,No,Yes,Yes,Fiber Optic,15,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2018,24,No,No,76.1,34902
Female,No,Yes,No,United States,California,San Diego,-117.209774,No,Yes,Yes,Fiber Optic,2,No,No,No,Yes,Bank Withdrawal,Q3,Yes,3677,4,No,No,95.45,34902
Male,No,Yes,No,United States,California,San Diego,-117.209774,Yes,Yes,Yes,Fiber Optic,10,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4105,32,No,No,74.9,34902
Male,No,Yes,No,United States,California,San Diego,-117.209774,Yes,Yes,No,Cable,12,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,2212,24,Yes,No,93.15,34902
Female,No,Yes,No,United States,California,San Diego,-117.209774,No,Yes,Yes,DSL,5,Yes,Yes,Yes,No,Bank Withdrawal,Q3,Yes,4149,54,No,Yes,82.45,34902
Female,No,Yes,No,United States,California,San Diego,-117.209774,No,Yes,No,Fiber Optic,10,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2671,2,No,No,70.35,34902
