tenure_months,dependents,monthly_charges,tech_support_no,city_encoded,population,longitude_encoded,cltv,avg_monthly_gb_download,online_security,paperless_billing,payment_method_credit_card,online_backup,payment_method_bank_withdrawal,streaming_music,referred_a_friend,internet_type_dsl,internet_type_cable,internet_type_fiber_optic,multiple_lines,churn_label
1,0,39.65,1.0,554,68701,432,5433,8,0,0,0.0,0,1.0,0,0,1.0,0.0,0.0,0,0
8,1,80.65,1.0,554,55668,443,5302,17,0,0,1.0,1,0.0,0,1,0.0,0.0,1.0,1,0
18,1,95.45,1.0,554,47534,461,3179,52,0,0,0.0,0,1.0,1,0,0.0,0.0,1.0,1,0
25,1,98.5,1.0,448,27778,527,5337,12,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,0,0
37,1,76.5,1.0,1072,26265,375,2793,14,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
27,1,78.05,1.0,752,63288,404,4638,18,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
1,1,70.45,1.0,551,21343,391,3964,30,0,0,0.0,0,0.0,0,1,0.0,0.0,1.0,0,0
58,0,45.3,1.0,921,10558,388,5444,24,0,0,0.0,1,1.0,0,1,1.0,0.0,0.0,0,0
15,1,74.45,1.0,734,23742,419,5717,19,0,0,0.0,0,0.0,0,0,0.0,0.0,1.0,1,0
7,1,76.45,1.0,734,32369,403,4419,18,1,1,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
11,1,95.0,1.0,676,57146,565,5980,29,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,0,0
15,0,74.4,1.0,228,33817,336,4616,29,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,0,0
1,0,40.2,1.0,290,62660,373,5828,12,0,1,0.0,1,1.0,0,1,1.0,0.0,0.0,0,0
3,0,41.15,1.0,493,30802,363,2314,28,0,0,0.0,0,1.0,1,0,1.0,0.0,0.0,0,0
13,0,106.9,1.0,838,46342,330,2494,11,0,0,0.0,1,1.0,0,0,0.0,1.0,0.0,1,0
16,0,94.45,0.0,702,49474,248,3810,9,0,0,0.0,0,1.0,1,0,0.0,0.0,1.0,0,0
8,0,74.5,1.0,16,16486,65,4345,7,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,0,0
24,0,76.1,1.0,854,34902,174,2018,15,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
4,0,95.45,1.0,854,34902,174,3677,2,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
32,0,74.9,1.0,854,34902,174,4105,10,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
24,0,93.15,1.0,854,34902,174,2212,12,0,0,0.0,0,1.0,1,1,0.0,1.0,0.0,0,0
54,0,82.45,0.0,854,34902,174,4149,5,1,1,0.0,1,1.0,1,0,1.0,0.0,0.0,1,0
2,0,70.35,1.0,854,34902,174,2671,10,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
21,0,41.9,1.0,854,34902,174,4778,8,1,0,0.0,0,1.0,0,0,0.0,1.0,0.0,0,0
27,0,30.75,1.0,854,34902,174,2927,13,1,1,1.0,0,0.0,0,0,0.0,1.0,0.0,0,0
11,0,19.95,0.0,854,34902,174,5888,0,0,1,0.0,0,0.0,0,1,0.0,0.0,0.0,0,0
55,0,85.45,1.0,854,34902,174,5502,27,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
